station, date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
PTH005,1/25/16,,1,29.73,8.77,23.03,0.9,7.7,,87.9,7.6
PTH005,1/25/16,,1.5,29.73,8.76,23.03,0.9,7.7,,87.6,7.6
PTH005,1/25/16,,2,29.74,8.75,23.04,1,7.7,,87.6,7.6
PTH005,1/25/16,,2.5,29.75,8.74,23.05,1,7.7,,87.5,7.6
PTH005,1/25/16,,3,29.81,8.73,23.09,1,7.7,,87.5,7.6
PTH005,1/25/16,,3.5,29.84,8.73,23.12,1,7.7,,87.5,7.6
PTH005,1/25/16,,4,29.89,8.74,23.15,1,7.7,,87.5,7.6
PTH005,1/25/16,,4.5,29.91,8.75,23.17,1.1,7.7,,87.5,7.6
PTH005,1/25/16,,5,29.93,8.75,23.19,1,7.7,,87.5,7.6
PTH005,1/25/16,,5.5,29.96,8.76,23.21,1,7.7,,87.5,7.6
PTH005,1/25/16,,6,29.98,8.77,23.23,1,7.7,,87.5,7.6
PTH005,1/25/16,,6.5,30.01,8.77,23.25,1,7.7,,87.4,7.6
PTH005,1/25/16,,7,30.04,8.77,23.27,0.9,7.7,,87.1,7.6
PTH005,1/25/16,,7.5,30.05,8.77,23.28,0.9,7.7,,86.9,7.6
PTH005,1/25/16,,8,30.07,8.77,23.29,1,7.7,,86.7,7.6
PTH005,1/25/16,,8.5,30.08,8.77,23.3,1,7.7,,86.5,7.6
PTH005,1/25/16,,9,30.08,8.77,23.31,0.9,7.7,,86.1,7.6
PTH005,1/25/16,,9.5,30.09,8.77,23.31,0.9,7.7,,86.1,7.6
PTH005,1/25/16,,10,30.09,8.77,23.31,0.8,7.7,,86,7.6
PTH005,1/25/16,,10.5,30.09,8.77,23.31,0.8,7.7,,85.9,7.6
PTH005,1/25/16,,11,30.1,8.77,23.31,0.8,7.7,,85.9,7.6
PTH005,1/25/16,,11.5,30.1,8.77,23.32,0.9,7.7,,85.6,7.6
PTH005,1/25/16,,12,30.1,8.77,23.32,0.9,7.7,,85.7,7.6
PTH005,1/25/16,,12.5,30.12,8.77,23.33,0.9,7.6,,85.5,7.6
PTH005,1/25/16,,13,30.12,8.77,23.34,0.9,7.6,,85.5,7.6
PTH005,1/25/16,,13.5,30.13,8.76,23.34,0.9,7.6,,85.3,7.6
PTH005,1/25/16,,14,30.13,8.76,23.34,0.9,7.6,,85.2,7.6
PTH005,1/25/16,,14.5,30.14,8.76,23.35,0.9,7.7,,85.2,7.7
PTH005,1/25/16,,15,30.16,8.78,23.36,0.8,7.7,,85,7.7
PTH005,1/25/16,,15.5,30.18,8.81,23.38,0.8,7.7,,85,7.7
PTH005,1/25/16,,16,30.2,8.81,23.39,0.8,7.6,,85.2,7.7
PTH005,1/25/16,,16.5,30.22,8.82,23.41,0.7,7.6,,85.7,7.7
PTH005,1/25/16,,17,30.24,8.82,23.42,0.6,7.6,,85.6,7.7
PTH005,1/25/16,,17.5,30.24,8.82,23.42,0.6,7.5,,85.3,7.7
PTH005,1/25/16,,18,30.26,8.83,23.43,0.6,7.5,,85,7.7
PTH005,1/25/16,,18.5,30.27,8.82,23.44,0.6,7.5,,84.7,7.7
PTH005,1/25/16,,19,30.3,8.82,23.46,0.6,7.5,,84.3,7.7
PTH005,1/25/16,,19.5,30.33,8.82,23.49,0.5,7.5,,83.8,7.7
PTH005,1/25/16,,20,30.35,8.82,23.5,0.6,7.5,,83,7.7
PTH005,1/25/16,,20.5,30.35,8.82,23.51,0.6,7.5,,82.3,7.7
PTH005,1/25/16,,21,30.38,8.82,23.53,0.6,7.5,,81.7,7.7
PTH005,1/25/16,,21.5,30.43,8.81,23.57,0.6,7.4,,81.4,7.7
PTH005,1/25/16,,22,30.43,8.81,23.57,0.6,7.4,,81,7.7
PTH005,1/25/16,,22.5,30.46,8.8,23.6,0.6,7.4,,80.3,7.7
PTH005,1/25/16,,23,30.56,8.78,23.67,0.6,7.4,,79.7,7.7
PTH005,1/25/16,,23.5,30.57,8.77,23.68,0.5,7.4,,78.4,7.7
PTH005,1/25/16,,24,30.57,8.77,23.68,0.5,7.4,,77.6,7.7
PTH005,1/25/16,,24.5,30.57,8.77,23.69,0.5,7.4,,77.4,7.7
PTH005,1/25/16,,25,30.57,8.77,23.69,0.5,7.3,,77.3,7.7
PTH005,1/25/16,,25.5,30.58,8.76,23.7,0.6,7.1,,77.6,7.7
PTH005,1/25/16,,26,29.41,8.76,22.78,3.2,7.2,,77,7.7
PTH005,2/22/16,,1,28.69,8.84,22.2,1.1,8.1,,87.5,7.8
